TestSite,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
APB;19;2008,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
APB;19;2010,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
APB;19;2012,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
APB;19;2014,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
APB;5;2008,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
APB;5;2010,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
APB;5;2012,FOR;2;2007,FOR;2;2008,FOR;2;2010,FOR;2;2012,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,JOS;25;2008,JOS;25;2010,JOS;25;2012,JOS;34;2008,JOS;34;2010,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,,,
APB;5;2014,BRO;10;2007,BRO;10;2010,BRO;10;2012,BRO;196;2007,BRO;196;2010,BRO;196;2012,BRO;245;2007,BRO;245;2010,BRO;245;2012,,,,,,,,,,,
BRO;10;2014,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;216;2009,SXM;216;2011,GRN;28;2006,GRN;28;2009,GRN;28;2011,BRO;21;2007,BRO;21;2010,,,,,,,,,,
BRO;118;2007,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;216;2009,SXM;216;2011,GRN;28;2006,GRN;28;2009,GRN;28;2011,BRO;21;2007,BRO;21;2010,,,,,,,,,,
BRO;118;2010,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;216;2009,SXM;216;2011,GRN;28;2006,GRN;28;2009,GRN;28;2011,BRO;21;2007,BRO;21;2010,,,,,,,,,,
BRO;118;2014,SXM;216;2009,SXM;216;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;151;2005,SXM;151;2009,SXM;151;2011,BRO;21;2007,BRO;21;2010,,,,,,,,,,
BRO;119;2010,SXM;216;2009,SXM;216;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;151;2005,SXM;151;2009,SXM;151;2011,BRO;21;2007,BRO;21;2010,,,,,,,,,,
BRO;119;2012,SXM;216;2009,SXM;216;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;151;2005,SXM;151;2009,SXM;151;2011,BRO;21;2007,BRO;21;2010,,,,,,,,,,
BRO;119;2014,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,BRO;16;2007,BRO;16;2008,BRO;16;2010,BRO;16;2012,SXM;107;2005,SXM;107;2009,SXM;107;2011,,,
BRO;129;2014,BRO;243;2007,BRO;243;2010,BRO;243;2012,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,,,,,,,,,,,
BRO;135;2007,BRO;243;2007,BRO;243;2010,BRO;243;2012,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,,,,,,,,,,,
BRO;135;2010,BRO;243;2007,BRO;243;2010,BRO;243;2012,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,,,,,,,,,,,
BRO;135;2012,BRO;243;2007,BRO;243;2010,BRO;243;2012,BRO;42;2007,BRO;42;2010,BRO;42;2012,BRO;172;2007,BRO;172;2010,BRO;172;2012,,,,,,,,,,,
BRO;135;2014,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,BRO;243;2007,BRO;243;2010,BRO;243;2012,,,,,,,,,,,
BRO;142;2007,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,BRO;243;2007,BRO;243;2010,BRO;243;2012,,,,,,,,,,,
BRO;142;2010,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,BRO;243;2007,BRO;243;2010,BRO;243;2012,,,,,,,,,,,
