Phylogenetic group/Genus species,Ref,Fd,HBI,NBI-P,NBI-N
Hydra,108,prd,5,,
Hydridae,108,prd,5,,
Prostoma graecense,108,prd,8,2,7
Nemertea,108,prd,8,,
Dugesia tigrina,62,prd,6,,
Dugesia,62,prd,6,,
Turbellaria,62,c-g,6,8,6
Nematoda,,c-g,5,,
Manayunkia speciosa,83,c-g,6,,
Manayunkia,83,c-g,6,,
Sabellidae,83,c-g,6,,
Polychaeta,83,c-g,6,,
Haplotaxidae,18,prd,5,,
Lumbricina,83,c-g,6,,
Eclipidrilus,18,c-g,5,,
Lumbriculus,18,c-g,5,,
Stylodrilus heringianus,18,c-g,5,,
Stylodrilus,18,c-g,5,,
Lumbriculidae,18,c-g,5,5,6
Enchytraeidae,"18,83",c-g,10,7,8
Aulodrilus americanus,"18,83",c-g,7,,
Aulodrilus limnobius,"18,83",c-g,7,,
Aulodrilus piqueti,"18,83",c-g,7,,
Aulodrilus pluriseta,"18,83",c-g,7,,
Aulodrilus,"18,83",c-g,7,,
Bothrioneurum vejdovskyanum,18,c-g,7,,
Bothrioneurum,18,c-g,7,,
Branchiura sowerbyi,"18,83",c-g,6,,
Branchiura,"18,83",c-g,6,,
Ilyodrilus templetoni,"18,83",c-g,10,,
Ilyodrilus,"18,83",c-g,10,,
Isochaetides freyi,"18,83",c-g,8,,
Isochaetides,"18,83",c-g,8,,
Limnodrilus cervix,"18,83",c-g,10,,
Limnodrilus claparedeianus,"18,83",c-g,10,,
Limnodrilus hoffmeisteri,"18,83",c-g,10,,
Limnodrilus profundicola,"18,83",c-g,10,,
Limnodrilus udekemianus,"18,83",c-g,10,,
Limnodrilus,"18,83",c-g,10,,
Peloscolex ferox,"18,83",c-g,6,,
Peloscolex,"18,83",c-g,6,,
Potamothrix moldaviensis,"18,83",c-g,8,,
Potamothrix vejdovskyi,18,c-g,8,,
Potamothrix,18,c-g,8,,
Quistadrilus multisetosus,"18,83",c-g,10,,
Quistadrilus,"18,83",c-g,10,,
Rhyacodrilus subterraneus,18,c-g,10,,
Rhyacodrilus,18,c-g,10,,
Spirosperma ferox,78,c-g,10,,
Spirosperma,"18,83",c-g,6,,
Tubifex tubifex,"18,83",c-g,10,,
Tubifex,"18,83",c-g,10,,
Tubificidae.w.setae,"18,83",c-g,10,10,8
Tubificidae.wo.setae,"18,83",c-g,10,7,7
Tubificidae,83,c-g,9,,
Amphichaeta americana,"18,83",c-g,6,,
Amphichaeta,"18,83",c-g,6,,
Arcteonais lomondi,"18,83",c-g,6,,
Arcteonais,"18,83",c-g,6,,
Chaetogaster diaphanus,"18,83",prd,7,,
Chaetogaster diastrophus,"18,83",prd,7,,
Chaetogaster limnaei,"18,83",prd,7,,
Chaetogaster setosus,"18,83",prd,7,,
Chaetogaster,"18,83",prd,7,,
Dero digitata,"18,83",c-g,10,,
Dero flabelliger,"18,83",c-g,10,,
Dero furcata,"18,83",c-g,10,,
Dero nivea,"18,83",c-g,10,,
Dero obtusa,"18,83",c-g,10,,
Dero pectinata,"18,83",c-g,10,,
Dero,"18,83",c-g,10,,
Haemonais waldvogeli,"18,83",c-g,8,,
Haemonais,"18,83",c-g,8,,
Nais barbata,"18,83",c-g,8,,
Nais behningi,"18,83",c-g,6,,
Nais bretscheri,"18,83",c-g,6,,
Nais communis,"18,83",c-g,8,,
Nais elinguis,"18,83",c-g,10,,
Nais pardalis,"18,83",c-g,8,,
Nais simplex,"18,83",c-g,6,,
Nais variabilis,"18,83",c-g,10,5,0
Nais,"18,83",c-g,8,,
Ophidonais serpentina,"18,83",c-g,6,,
Ophidonais,"18,83",c-g,6,,
Paranais frici,61,c-g,10,,
Paranais,61,c-g,10,,
Piguetiella michiganensis,18,c-g,6,,
Piguetiella,18,c-g,6,,
Pristina aequiseta,"18,83",c-g,8,,
Pristina breviseta,"18,83",c-g,8,,
Pristina leidyi,"18,83",c-g,8,,
Pristina menoni,"18,83",c-g,8,,
Pristina synclites,"18,83",c-g,8,,
Pristina,"18,83",c-g,8,,
Pristinella jenkinae,"18,83",c-g,8,,
Pristinella osborni,"18,83",c-g,8,,
Pristinella,"18,83",c-g,8,,
Ripistes parasita,"18,83",c-f,8,,
Ripistes,"18,83",c-f,8,,
Slavina appendiculata,"18,83",c-g,6,,
Slavina,"18,83",c-g,6,,
Specaria josinae,"18,83",c-g,6,,
Specaria,"18,83",c-g,6,,
Stylaria lacustris,"18,83",c-g,6,5,2
Stylaria,"18,83",c-g,6,,
Vejdovskyella comata,"18,83",c-g,6,,
Vejdovskyella intermedia,"18,83",c-g,6,,
Vejdovskyella,"18,83",c-g,6,,
Naididae,"18,83",c-g,8,,
Oligochaeta,"18,83",c-g,8,,
Erpobdella,"83, 63",prd,8,,
Erpobdellidae,"83, 63",prd,8,,
Batracobdella phalera,"83,63",prd,8,,
Batracobdella,"83,63",prd,8,,
Helobdella elongata,"83,63",prd,8,,
Helobdella stagnalis,"83,63",prd,8,,
Helobdella triserialis,"83,63",prd,8,,
Helobdella,63,prd,8,,
Placobdella montifera,"83,63",prd,8,,
Placobdella,"83,63",prd,8,,
Glossiphoniidae,"83, 63",prd,8,,
Hirudinea,"83,63",prd,8,9,10
Aeolosoma headleyi,29,c-f,8,,
Aeolosoma leidyi,29,c-f,8,,
Aeolosoma quarternarium,29,c-f,8,,
Aeolosoma tenebrarum,29,c-f,8,,
Aeolosoma travancorense,29,c-f,8,,
Aeolosoma,29,c-f,8,,
Aeolosomatidae,29,c-f,8,,
Branchiobdella,108,c-g,6,,
Branchiobdellidae,108,c-g,6,,
Physella ancillaria,"83,60",c-g,8,,
Physella gyrina,"83,60",c-g,8,,
Physella heterostropha,"83,60",c-g,8,,
Physella integra,"83,60",c-g,8,,
Physella,"83,60",c-g,8,8,7
Physidae,"83,60",c-g,8,,
Fossaria,"60,83",c-g,6,,
Lymnaea stagnalis,"60,83",c-g,6,,
Lymnaea,"60,83",c-g,6,,
Pseudosuccinea columella,"60,83",c-g,6,,
Pseudosuccinea,"60,83",c-g,6,,
Radix auricularia,"60,83",c-g,6,,
Radix,"60,83",c-g,6,,
Stagnicola catascopium,"60,83",c-g,6,,
Stagnicola elodes,"60,83",c-g,6,,
Stagnicola,83,c-g,6,,
Lymnaeidae,"60,83",c-g,6,,
Gyraulus circumstriatus,"60,83",scr,8,,
Gyraulus deflectus,"60,83",scr,8,,
Gyraulus parvus,"60,83",scr,8,,
Gyraulus,"60,83",scr,8,,
Helisoma anceps,"60,83",scr,6,,
Helisoma campanulata,60,scr,6,,
Helisoma trivolvis,60,scr,6,,
Helisoma,60,scr,6,,
Micromenetus dilatatus,60,scr,6,,
Micromenetus,60,scr,6,,
Planorbidae,"60,83",scr,6,,
Ferrissia parallela,"60,83",scr,6,,
Ferrissia rivularis,"60,83",scr,6,,
Ferrissia walkeri,"60,83",scr,6,,
Ferrissia,"60,83",scr,6,9,5
Laevapex fuscus,,scr,6,,
Ancylidae,"60,83",scr,6,,
Campeloma decisum,"60,83",scr,6,,
Campeloma,"60,83",scr,6,,
Cipangopaludina,83,c-g,9,,
Viviparus georgianus,"60,83",scr,6,,
Viviparus,"60,83",scr,6,,
Viviparidae,"60,83",scr,6,,
Goniobasis livescens,"60,83",scr,6,10,10
Goniobasis virginica,"60,83",scr,6,,
Goniobasis,"60,83",scr,6,,
Pleurocera acuta,"60,83",scr,6,,
Pleurocera,"60,83",scr,6,,
Pleuroceridae,"60,83",scr,6,,
Bithynia tentaculata,"60,83",scr,8,,
Bithynia,"60,83",scr,8,,
Bithyniidae,"60,83",scr,8,,
Amnicola decepta,"83,60",scr,5,,
Amnicola grana,"60,83",scr,5,,
Amnicola limosa,"60,83",scr,5,,
Amnicola,"60,83",scr,5,,
Cincinnatia cincinnatiensis,"60,83",scr,5,,
Cincinnatia,"60,83",scr,5,,
Pomatiopsis lapidaria,"51,22",scr,8,,
Pomatiopsis,"51,22",scr,8,,
Probythinella lacustris,"60,83",scr,8,,
Probythinella,"60,83",scr,8,,
Hydrobiidae,"60,83",scr,8,6,7
Valvata lewisi,"60,83",scr,8,,
Valvata piscinalis,"60,83",scr,8,,
Valvata sincera,"60,83",scr,8,,
Valvata tricarinata,"60,83",scr,8,,
Valvata,"60,83",scr,8,,
Valvatidae,"60,83",scr,8,,
Gastropoda,"60,83",scr,7,,
Anodonta implicata,"116,83",c-f,6,,
Anodonta,"116,83",c-f,6,,
Elliptio complanata,"116,83",c-f,8,,
Elliptio,"116,83",c-f,8,,
Lampsilis radiata,"116,83",c-f,6,,
Lampsilis,"116,83",c-f,6,,
Pyganodon cataracta,"116,83",c-f,6,,
Pyganodon,"116,83",c-f,6,,
Unionidae,"116,83",c-f,6,,
Corbicula fluminea,83,c-f,6,,
Corbicula,83,c-f,6,,
Corbiculidae,83,c-f,6,,
Dreissena bugensis,82,c-f,8,,
Dreissena polymorpha,82,c-f,8,,
Dreissena,82,c-f,8,,
Dreisseniidae,82,c-f,8,,
Musculium partumeium,"68,22",c-f,6,,
Musculium transversum,"68,22",c-f,6,,
Musculium,83,c-f,6,,
Pisidium amnicum,"68,22",c-f,6,,
Pisidium casertanum,"68,22",c-f,6,,
Pisidium compressum,"68,22",c-f,6,,
Pisidium variabile,"68,22",c-f,6,,
Pisidium,83,c-f,6,8,10
Sphaerium corneum,"68,22",c-f,6,,
Sphaerium rhomboideum,"68,22",c-f,6,,
Sphaerium striatinum,"68,22",c-f,6,,
Sphaerium,"68,22",c-f,6,9,4
Pisidiidae,83,c-f,6,10,8
Cyathura polita,48,c-g,5,,
Cyathura,48,c-g,5,,
Anthuridae,48,c-g,5,,
Chiridotea almyra,48,c-g,5,,
Chiridotea,48,c-g,5,,
Edotea,48,c-g,5,,
Idoteidae,48,c-g,5,,
Caecidotea communis,"108, 126",c-g,8,,
Caecidotea intermedius,126,c-g,8,,
Caecidotea racovitzai,"108, 126",c-g,8,6,2
Caecidotea,"108, 83",c-g,8,7,9
Lirceus,"126, 83",c-g,8,,
Asellidae,"108, 83",c-g,8,,
Isopoda,"108, 83",c-g,7,,
Crangonyx,108,c-g,6,,
Crangonyctidae,108,c-g,6,,
Echinogammarus ischnus,"17,57",c-g,9,,
Gammarus fasciatus,"17,57",c-g,6,,
Gammarus pseudolimnaeus,"17,57",c-g,4,,
Gammarus tigrinus,"17,57",c-g,6,,
Gammarus,"17,57",c-g,6,8,9
Gammaridae,"17,57",c-g,6,,
Monoculodes edwardsi,17,c-g,5,,
Monoculodes,17,c-g,5,,
Oedicerotidae,17,c-g,5,,
Hyalella azteca,17,c-g,8,,
Hyalella,17,c-g,8,,
Talitridae,17,c-g,8,,
Almyracuma proximoculi,48,c-g,5,,
Almyracuma,48,c-g,5,,
Nannastacidae,48,c-g,5,,
Cambarus bartonii,"83,108",c-g,6,,
Cambarus,"83,108",c-g,6,,
Orconectes obscurus,"83,108",c-g,6,,
Orconectes propinquus,"83,108",c-g,6,,
Orconectes rusticus,"83,108",c-g,6,,
Orconectes,"83,108",c-g,6,,
Cambaridae,"83,108",c-g,6,6,5
Penaeidae,48,c-g,6,,
Ostracoda,108,c-g,6,,
Crustacean,,c-g,6,,
Arrenurus,108,prd,6,,
Lebertia,108,prd,6,,
Atractides,108,prd,6,,
Mideopsis,108,prd,6,,
Tyrellia,108,prd,6,,
Limnesia,108,prd,6,,
Limnochares,108,prd,6,,
Sperchon,108,prd,6,,
Unionicola,108,prd,6,,
Acariformes,108,prd,6,,
Acari,108,prd,6,,
Polydesmida,16,c-g,6,,
Isotomurus,83,c-g,5,,
Isotomidae,83,c-g,5,,
Ameletus ludens,"83,34",c-g,0,,
Ameletus,"83,34",c-g,0,,
Ameletidae,"83,34",c-g,0,,
Siphlonurus,83,c-g,4,,
Siphlonuridae,83,c-g,4,,
Isonychia bicolor,"83,64",c-f,2,5,2
Isonychia obscura,"83,64",c-f,2,,
Isonychia,83,c-f,2,,
Isonychiidae,83,c-f,2,,
Acentrella ampla,"74,119",c-g,6,,
Acentrella turbida,83,c-g,4,,
Acentrella,83,c-g,4,5,5
Acerpenna macdunnoughi,"74,120",c-g,5,,
Acerpenna pygmaea,"74,120",c-g,4,0,4
Acerpenna,"74,120",c-g,4,,
Baetis brunneicolor,74,c-g,4,1,5
Baetis flavistriga,74,c-g,4,7,7
Baetis intercalaris,74,c-g,5,6,5
Baetis pluto,74,c-g,6,,
Baetis tricaudatus,74,c-g,6,8,9
Baetis,74,c-g,6,6,3
Callibaetis,83,c-g,7,,
Centroptilum,83,c-g,2,,
Cloeon,83,c-g,4,,
Diphetor hageni,74,c-g,6,,
Diphetor,74,c-g,6,,
Heterocloeon anoka,"83,34",scr,2,,
Heterocloeon curiosum,"83,34",scr,2,,
Heterocloeon,83,scr,2,,
Iswaeon anoka,"83, 34",scr,2,,
Paracloeodes,83,scr,9,,
Plauditus cestus,67,c-g,4,,
Plauditus dubius,67,c-g,4,,
Plauditus,67,c-g,4,2,6
Procloeon rivulare,83,c-g,6,,
Procloeon,83,c-g,6,,
Pseudocloeon propinquum,"74,120",c-g,6,,
Pseudocloeon,83,c-g,6,,
Baetidae,83,c-g,6,,
Cinygmula subaequalis,"83,34",scr,2,,
Cinygmula,"83,34",scr,2,,
Epeorus vitreus,83,scr,0,,
Iron,83,scr,0,0,0
Epeorus,83,scr,0,0,0
